Timestamp,Opening,High,Low,Closing
2016-08-12,3461.25,3469.1,3442.77,3448.09
2016-08-11,3443.33,3461.5,3434.78,3461.25
2016-08-10,3459.8,3456.51,3432.93,3443.33
2016-08-09,3403.72,3459.8,3398.71,3459.8
2016-08-08,3374.38,3406.77,3375.66,3403.72
2016-08-05,3339.94,3381.75,3342.3,3374.38
2016-08-04,3311.05,3344.37,3292.32,3339.94
2016-08-03,3317.18,3334.11,3300.85,3311.05
2016-08-02,3358.72,3359.69,3306.96,3317.18
2016-08-01,3384.23,3408.59,3345.24,3358.72
2016-07-29,3395.62,3403.29,3383.45,3384.23
2016-07-28,3411.77,3439.96,3395.62,3395.62
2016-07-27,3414.19,3448.62,3409.26,3411.77
2016-07-26,3398.56,3423.7,3391.32,3414.19
2016-07-25,3382.59,3416.27,3379.58,3398.56
2016-07-22,3358.32,3394.23,3349.45,3382.59
2016-07-21,3361.53,3381.99,3340.26,3358.32
2016-07-20,3337.96,3369.26,3328.18,3361.53
2016-07-19,3331.83,3348.49,3296.87,3337.96
2016-07-18,3332.3,3342.2,3317.91,3331.83
2016-07-15,3342.24,3341.38,3307.61,3332.3
2016-07-14,3328.75,3353.91,3327.13,3342.24
2016-07-13,3305.54,3335.46,3302.21,3328.75
2016-07-12,3281.61,3317.07,3284.17,3305.54
2016-07-11,3219.18,3282.92,3226.67,3281.61
2016-07-08,3160.67,3219.18,3152.56,3219.18
2016-07-07,3134.61,3182.06,3134.84,3160.67
2016-07-06,3163.11,3167.9,3112.64,3134.61
2016-07-05,3236.31,3231.78,3149.36,3163.11
2016-07-04,3262.35,3283.23,3236.31,3236.31
2016-07-01,3198.2,3272.23,3199.09,3262.35
2016-06-30,3154.24,3199.5,3141.32,3198.2
2016-06-29,3071.96,3154.4,3076.56,3154.24
2016-06-28,2997.29,3104.73,3003.41,3071.96
2016-06-27,3271.4,3248.23,2996.12,2997.29
2016-06-23,3245.7,3291.74,3242.46,3271.4
2016-06-22,3232.86,3251.85,3217.96,3245.7
2016-06-21,3225.87,3237.98,3203.3,3232.86
2016-06-20,3124.71,3226.15,3142.27,3225.87
2016-06-17,3086.81,3137.88,3092.68,3124.71
2016-06-16,3134.23,3128.69,3076.88,3086.81
2016-06-15,3098.45,3139.22,3101.95,3134.23
2016-06-14,3152.85,3148.76,3098.45,3098.45
2016-06-13,3203.62,3194.86,3140.16,3152.85
2016-06-10,3262.24,3262.14,3201.31,3203.62
2016-06-09,3290.93,3290.07,3257.08,3262.24
2016-06-08,3293.47,3294.61,3282.13,3290.93
2016-06-07,3254.13,3293.47,3254.05,3293.47
2016-06-06,3224.9,3254.49,3222.82,3254.13
2016-06-03,3235.7,3268.09,3215.54,3224.9
2016-06-02,3227.16,3239.44,3213.56,3235.7
2016-06-01,3248.29,3248.23,3215.26,3227.16
2016-05-31,3234.26,3256.17,3225.94,3248.29
2016-05-30,3229.79,3243.4,3222.03,3234.26
2016-05-27,3222.91,3231.91,3214.83,3229.79
2016-05-26,3186.07,3222.95,3178.6,3222.91
2016-05-25,3158.82,3186.07,3160.23,3186.07
2016-05-24,3112.26,3160.45,3087.25,3158.82
2016-05-23,3119.73,3124.47,3099.04,3112.26
2016-05-20,3074,3119.97,3077.23,3119.73
2016-05-19,3102.63,3101.81,3066.13,3074
2016-05-18,3089.71,3102.63,3073.12,3102.63
2016-05-17,3089.09,3113.53,3078.99,3089.71
2016-05-16,3072.47,3090.04,3059.54,3089.09
2016-05-13,3066.41,3079.03,3045.04,3072.47
2016-05-12,3088.55,3109.26,3061.78,3066.41
2016-05-11,3080.05,3091.27,3066.28,3088.55
2016-05-10,3082.57,3107.95,3066.88,3080.05
2016-05-09,3072.7,3104.7,3072.63,3082.57
2016-05-06,3070.19,3083.48,3046.45,3072.7
2016-05-04,3100.55,3100.55,3068.94,3070.19
2016-05-03,3130.1,3130.1,3085.62,3100.55
2016-05-02,3144.34,3144.34,3122.1,3130.1
2016-04-29,3179.06,3179.06,3144.1,3144.34
2016-04-28,3158.79,3180.84,3130.95,3179.06
2016-04-27,3157.42,3169.27,3126.27,3158.79
2016-04-26,3122.96,3180.99,3120.51,3157.42
2016-04-25,3178.55,3181.9,3119.57,3122.96
2016-04-22,3213.71,3211.1,3157.43,3178.55
2016-04-21,3255.49,3258.7,3186.3,3213.71
2016-04-20,3245.31,3255.49,3232.16,3255.49
2016-04-19,3192.58,3246.47,3193.96,3245.31
2016-04-18,3175.69,3199.53,3137.2,3192.58
2016-04-15,3179.12,3183.35,3163.88,3175.69
2016-04-14,3154.58,3179.12,3152.67,3179.12
2016-04-13,3111.82,3157.38,3107.64,3154.58
